time units=S;Vdummy#branch units=A
2.969999999999991e-10;0.000000000000000e+00
2.974999999999991e-10;0.000000000000000e+00
2.979999999999991e-10;0.000000000000000e+00
2.984999999999991e-10;0.000000000000000e+00
2.989999999999991e-10;0.000000000000000e+00
2.994999999999991e-10;0.000000000000000e+00
2.999999999999991e-10;0.000000000000000e+00
3.004999999999991e-10;0.000000000000000e+00
3.009999999999991e-10;0.000000000000000e+00
3.014999999999991e-10;0.000000000000000e+00
3.019999999999991e-10;0.000000000000000e+00
3.024999999999991e-10;0.000000000000000e+00
3.029999999999991e-10;0.000000000000000e+00
3.034999999999991e-10;0.000000000000000e+00
3.039999999999991e-10;0.000000000000000e+00
3.044999999999991e-10;0.000000000000000e+00
3.049999999999991e-10;0.000000000000000e+00
3.054999999999991e-10;0.000000000000000e+00
3.059999999999991e-10;0.000000000000000e+00
3.064999999999991e-10;0.000000000000000e+00
3.069999999999991e-10;0.000000000000000e+00
3.074999999999991e-10;0.000000000000000e+00
3.079999999999991e-10;0.000000000000000e+00
3.084999999999991e-10;0.000000000000000e+00
3.089999999999991e-10;0.000000000000000e+00
3.094999999999991e-10;0.000000000000000e+00
3.099999999999991e-10;0.000000000000000e+00
3.104999999999991e-10;0.000000000000000e+00
3.109999999999991e-10;0.000000000000000e+00
3.114999999999991e-10;0.000000000000000e+00
3.119999999999991e-10;0.000000000000000e+00
3.124999999999991e-10;0.000000000000000e+00
3.129999999999991e-10;0.000000000000000e+00
3.134999999999991e-10;0.000000000000000e+00
3.139999999999991e-10;0.000000000000000e+00
3.144999999999991e-10;0.000000000000000e+00
3.149999999999991e-10;0.000000000000000e+00
