time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
7.549999999999988e-11;-1.381934967247293e-01;6.073042647873342e+00;1.370763419520842e+00;1.119386515267344e-05;8.898936013781471e-01
7.599999999999988e-11;-1.543428084118005e-01;6.066936030164194e+00;1.354446171466130e+00;8.229143651104198e-06;8.859720139265366e-01
7.649999999999988e-11;-1.467352214342255e-01;6.074516857665222e+00;1.339598122519772e+00;4.844698317373165e-06;8.818742500488412e-01
7.699999999999988e-11;-1.223929762930529e-01;6.090526730981212e+00;1.326962765264189e+00;1.573722696435980e-06;8.777742575774332e-01
7.749999999999987e-11;-8.866951173571440e-02;6.109942799928048e+00;1.317059594002637e+00;-1.182667036608114e-06;8.738611800919771e-01
7.799999999999987e-11;-5.224139325607466e-02;6.128672352588575e+00;1.310112283761805e+00;-3.178625847304910e-06;8.703152097773258e-01
7.849999999999987e-11;-1.843688488171700e-02;6.143914667779933e+00;1.306039540815833e+00;-4.321445691354951e-06;8.672838151333417e-01
7.899999999999987e-11;9.101268170051051e-03;6.154226970004985e+00;1.304499043645235e+00;-4.649943281458057e-06;8.648630461714804e-01
7.949999999999987e-11;2.845554278239491e-02;6.159363833787442e+00;1.304966641657817e+00;-4.300469914716472e-06;8.630873472884451e-01
7.999999999999987e-11;3.924167951662999e-02;6.159975649056942e+00;1.306830095940781e+00;-3.467693899701871e-06;8.619293528946725e-01
8.049999999999986e-11;4.226755440892929e-02;6.157251411068874e+00;1.309478537167710e+00;-2.366414009703040e-06;8.613090118549855e-01
8.099999999999986e-11;3.912573258575248e-02;6.152577198238894e+00;1.312373944158061e+00;-1.199151312877755e-06;8.611096052660263e-01
8.149999999999986e-11;3.178984911814115e-02;6.147259802796981e+00;1.315097398971864e+00;-1.324696858404482e-07;8.611971660992213e-01
8.199999999999986e-11;2.226563205152206e-02;6.142340942224254e+00;1.317368955046478e+00;7.168107051514136e-07;8.614396238519568e-01
8.249999999999986e-11;1.232689323668319e-02;6.138505954813051e+00;1.319044562578548e+00;1.285887451103451e-06;8.617225901364911e-01
8.299999999999986e-11;3.348281049954187e-03;6.136074756542788e+00;1.320096203929268e+00;1.562273356957898e-06;8.619598087992147e-01
8.349999999999985e-11;-3.768522301000255e-03;6.135053245901920e+00;1.320582308696844e+00;1.574354343668630e-06;8.620975846106780e-01
8.399999999999985e-11;-8.589438338951171e-03;6.135219981690614e+00;1.320615055285832e+00;1.378700346296713e-06;8.621136746522187e-01
8.449999999999985e-11;-1.108424783321037e-02;6.136224552771882e+00;1.320329832752682e+00;1.046496385877059e-06;8.620119675297646e-01
8.499999999999985e-11;-1.152748229958604e-02;6.137678896697979e+00;1.319860405263745e+00;6.510548529284110e-07;8.618146970635183e-01
8.549999999999985e-11;-1.038565371466698e-02;6.139229199062833e+00;1.319321563116858e+00;2.577978017296904e-07;8.615539557461673e-01
8.599999999999985e-11;-8.208727853857825e-03;6.140602492882140e+00;1.318799515358613e+00;-8.252920441578737e-08;8.612639804709668e-01
8.649999999999984e-11;-5.538619767908391e-03;6.141627658078005e+00;1.318349129154492e+00;-3.372386258227512e-07;8.609752065141985e-01
8.699999999999984e-11;-2.842049363335177e-03;6.142234600342623e+00;1.317996408567267e+00;-4.919863447451869e-07;8.607105550616656e-01
8.749999999999984e-11;-4.701159300231233e-04;6.142437756756883e+00;1.317744314903911e+00;-5.486048568265677e-07;8.604839413057851e-01
8.799999999999984e-11;1.357057995496377e-03;6.142310835291427e+00;1.317580092631762e+00;-5.213059533808598e-07;8.603006344465959e-01
8.849999999999984e-11;2.545042002738054e-03;6.141959166855885e+00;1.317482576572568e+00;-4.321062215745686e-07;8.601588982533493e-01
8.899999999999983e-11;3.105108755982472e-03;6.141494665761577e+00;1.317428404458397e+00;-3.062422067239203e-07;8.600522867219735e-01
8.949999999999983e-11;3.125842518042174e-03;6.141016608191668e+00;1.317396539607638e+00;-1.681747338688732e-07;8.599720342647863e-01
8.999999999999983e-11;2.742113912872298e-03;6.140599640574667e+00;1.317370939976994e+00;-3.857326192819081e-08;8.599091210337115e-01
9.049999999999983e-11;2.106054773836460e-03;6.140288907009307e+00;1.317341540557290e+00;6.754250141150749e-08;8.598557666092492e-01
9.099999999999983e-11;1.363229609170253e-03;6.140101100757773e+00;1.317303924421691e+00;1.415162283909922e-07;8.598062711635788e-01
9.149999999999983e-11;6.357214439847706e-04;6.140029648051906e+00;1.317258147197720e+00;1.807827134360167e-07;8.597572557749451e-01
9.199999999999982e-11;1.252891911201340e-05;6.140052081259579e+00;1.317207171174336e+00;1.878620721949428e-07;8.597074394939929e-01
9.249999999999982e-11;-4.533632262647771e-04;6.140137852669702e+00;1.317155288591934e+00;1.689127810040720e-07;8.596571286021522e-01
9.299999999999982e-11;-7.425676934063651e-04;6.140255253504837e+00;1.317106800595698e+00;1.321290866785638e-07;8.596075905975130e-01
9.349999999999982e-11;-8.632038468612389e-04;6.140376610023619e+00;1.317065096946358e+00;8.622577726877092e-08;8.595604540944650e-01
9.399999999999982e-11;-8.428472910992685e-04;6.140481424729872e+00;1.317032173106548e+00;3.918847100642074e-08;8.595172296846437e-01
9.449999999999982e-11;-7.200475257339689e-04;6.140557541621335e+00;1.317008538877293e+00;-2.606197379571862e-09;8.594789980979552e-01
9.499999999999981e-11;-5.366070203302448e-04;6.140600699701833e+00;1.316993421689875e+00;-3.486725847130304e-08;8.594462697952256e-01
9.549999999999981e-11;-3.314135354247854e-04;6.140612988927176e+00;1.316985146929279e+00;-5.548954686064317e-08;8.594189896937117e-01
9.599999999999981e-11;-1.362172671634532e-04;6.140600751356323e+00;1.316981581832248e+00;-6.434708528006752e-08;8.593966437643836e-01
9.649999999999981e-11;2.660380394931489e-05;6.140572406556110e+00;1.316980550793973e+00;-6.287410862745491e-08;8.593784196287291e-01
